菜品,分类,价格,辣度,主要食材,忌口标签,可用,推荐说明
麻婆豆腐,川菜,18,中辣,豆腐猪肉,含肉,是,下饭且适合单人
水煮鱼片,川菜,32,中辣,鱼片豆芽,含鱼,是,适合嗜辣用户
鱼香肉丝,川菜,22,微辣,猪肉木耳,含肉,是,酸甜微辣下饭
宫保鸡丁,川菜,24,微辣,鸡肉花生,含花生,是,咸甜微辣
回锅肉,川菜,26,中辣,五花肉蒜苗,含肉,是,经典下饭
酸辣土豆丝,家常菜,14,微辣,土豆干辣椒,无,是,酸辣爽口
番茄炒蛋,家常菜,16,不辣,鸡蛋番茄,无,是,酸甜开胃
糖醋里脊,家常菜,28,不辣,猪肉糖醋汁,含肉,是,酸甜酥香
酸菜鱼,家常菜,32,微辣,鱼片酸菜,含鱼,是,酸鲜开胃
清炒苦瓜,家常菜,15,不辣,苦瓜蒜片,无,是,清爽解腻
苦瓜炒蛋,家常菜,17,不辣,苦瓜鸡蛋,无,是,微苦清香
青椒肉丝,家常菜,22,微辣,猪肉青椒,含肉,是,价格适中
红烧茄子,家常菜,18,不辣,茄子蒜末,无,是,软糯下饭
盖浇饭,盖浇饭,18,不辣,米饭时蔬,无,是,经济实惠管饱
红烧肉盖饭,盖浇饭,25,不辣,五花肉米饭,含肉,是,油润下饭
鱼香肉丝盖饭,盖浇饭,22,微辣,猪肉木耳米饭,含肉,是,单人方便
咖喱鸡盖饭,盖浇饭,24,微辣,鸡肉土豆米饭,含肉,是,浓郁饱腹
牛肉土豆盖饭,盖浇饭,28,不辣,牛肉土豆米饭,含肉,是,高蛋白饱腹
蛋炒饭,炒饭,15,不辣,鸡蛋米饭,无,是,快速方便
扬州炒饭,炒饭,22,不辣,米饭火腿鸡蛋,含肉,是,配料丰富
水饺,面食,18,不辣,猪肉白菜面皮,含肉,是,一人份方便
韭菜鸡蛋饺子,面食,16,不辣,韭菜鸡蛋面皮,鸡蛋,是,素馅鲜香
酸汤水饺,面食,20,微辣,水饺酸汤,含肉,是,酸辣开胃
牛肉拉面,面食,22,不辣,牛肉面条,含肉,是,热汤饱腹
重庆小面,面食,16,中辣,面条花生,含花生,是,麻辣鲜香
炸酱面,面食,18,不辣,面条猪肉酱,含肉,是,酱香管饱
烧烤拼盘,烧烤,45,中辣,鸡翅肉串蔬菜,含肉,是,适合多人分享
羊肉串,烧烤,30,中辣,羊肉孜然,含肉,是,炭火香气浓
烤鸡翅,烧烤,25,微辣,鸡翅,含肉,是,外焦里嫩
烤茄子,烧烤,15,微辣,茄子蒜蓉,无,是,蒜香软糯
烤玉米,烧烤,12,不辣,玉米,无,是,清甜饱腹
珍珠奶茶,奶茶,16,不辣,牛奶茶珍珠,含乳,是,经典甜饮
杨枝甘露,甜品,25,不辣,芒果西米椰浆,含乳,是,适合喜欢甜品的人
草莓冰淇淋,甜品,20,不辣,草莓乳制品,含乳,是,冷饮甜品
巧克力圣代,甜品,22,不辣,巧克力冰淇淋,含乳,是,浓郁甜品
蓝莓慕斯,甜品,26,不辣,蓝莓奶油,含乳,是,适合下午茶
红豆双皮奶,甜品,18,不辣,牛奶红豆,含乳,是,温和香甜
冰粉,甜品,12,不辣,冰粉红糖花生,含花生,是,清凉解辣
